Ano;Generacion;Esta1;Esta2;ONI_Media
1996; 14856 ;2177.90;3120.30;-0.30
1997; 10208 ;1058.30;1731.10;1.77
1998; 14527 ;2920.40;3301.90;-1.02
1999; 13851 ;2338.50;2742.00;-1.24
2000; 13982 ;2573.30;2891.80;-0.57
2001; 13324 ;2170.60;2063.80;-0.13
2002; 12093 ;2011.60;1987.30;0.78
2003; 13666 ;2025.30;2441.60;0.19
2004; 14794 ;2126.00;2633.30;0.53
2005; 14274 ;2434.90;2293.70;-0.33
2006; 15256 ;2496.40;2501.80;0.35
2007; 16727 ;2788.10;2863.10;-1.06
2008; 16873 ;2915.90;3189.60;-0.52
2009; 13105 ;1815.50;2186.00;0.85
2010; 16691 ;3235.80;3283.40;-1.13
2011; 14508 ;2720.60;2720.50;-0.71
2012; 14148 ;2211.40;2280.80;-0.03
2013; 13332 ;2450.30;2393.50;-0.28
2014; 12596 ;2093.40;1170.20;0.43
2015; 9811 ;1651.60;2265.70;1.88
2016; 12874 ;2376.00;2687.60;-0.26
