DIRECTORIOP6020     P6040     P5502     P6081     P6083     P6080     P1895     P1896     P1897     P1898     P1899     P1901     P1902     P1903     P1904     P1905     N_HIJOS   N_NIETOS  P1910     P1911     P1912     P1084     P1083S3
   6000013         2        64         3         3         3         6         8         8         8        10         9        10         7         7         0         8         1         1         5         5         5         1         1
   6000048         2        57         3         3         2         6         9         7         8         5         8         9         9         9         9        10         1         1         5         5         5         5         0
   6000052         2        58         3         3         3         6        10         5         8        10        10         5         6         0        10        10         1         1         5         1         5         1         1
   6000053         2        40         5         2         2         6         8         6         7         6         8         7         7         6         5        10         1         0         5         5         5         5         0
   6000056         2        59         5         3         3         6         8         5         6         8         8        10         9         3         0        10         1         0         5         4         5         5         0
   6000058         2        77         5         3         3         6         7         3         5         6         6         6         7         7         7         7         1         2         5         5         5         5         0
   6000066         2        57         3         3         3         6        10         6         0        10         0         5         4         8         8         1         1         1         5         5         5         5         0
   6000073         2        53         5         3         2         6        10         0         0        10         0        10        10        10         0        10         1         0         5         5         5         5         0
   6000074         2        26         5         2         2         6        10         6         9         9        10        10        10         5         4        10         2         0         1         5         5         1         1
   6000088         2        52         3         3         3         6        10        10        10        10        10        10        10         0         0        10         2         0         5         5         5         2         1
   6000112         2        56         3         3         2         6        10        10        10        10        10         9         9         1         1        10         1         2         5         5         5         1         1
   6000129         2        53         5         2         1         6         8         5        10        10         8         8        10         0         0        10         1         0         2         2         5         2         0
   6000138         2        36         5         2         2         6         3         4         4         5         5         1         0        10        10         4         2         0         5         5         5         1         1
   6000157         2        72         3         2         2         6        10        10        10        10        10        10        10        10         0        10         2         0         5         5         5         5         0
   6000185         2        38         5         3         2         6        10         9        10         8        10        10        10         0         0         9         4         0         5         5         5         1         1
   6000197         2        47         5         2         2         6         6         7         6         7         8        10         8         3         0        10         2         0         5         5         5         5         0
   6000201         2        85         3         3         3         6         8         8         8         7         7         9         7         4         4         7         1         0         5         5         5         5         0
   6000246         2        41         5         3         1         6         8         3         6         8         8         7         9         0         0         9         3         0         5         5         5         1         1
   6000263         2        62         3         3         3         6         8         6         7         8         6         8         8         7         4         8         3         3         5         5         5         5         0
   6000266         2        85         3         3         3         6         7         6         8         7         7         8         7         3         3         8         1         0         5         5         5         5         0
